t,T
4032000,8.9029006
4035600,7.3849408
4039200,6.3583512
4042800,5.7095669
4046400,5.403464
4050000,5.1844444
4053600,4.9802063
4057200,4.7459306
4060800,4.6290199
4064400,4.5848704
4068000,4.4324889
4071600,4.3601254
4075200,4.2138263
4078800,4.1315191
4082400,3.9842419
4086000,3.9274894
4089600,4.2219895
4093200,4.6174499
4096800,5.2165361
4100400,5.6921954
4104000,5.9195574
4107600,6.0126734
4111200,6.0079326
4114800,5.8073247
4118400,5.5582532
4122000,5.1549528
4125600,4.9158648
4129200,4.7500332
4132800,4.6247735
4136400,4.4664772
4140000,4.30133
4143600,4.191453
4147200,4.0815265
4150800,3.9779437
4154400,3.8348819
4158000,3.7056951
4161600,3.5588532
4165200,3.4720728
4168800,3.3778951
4172400,3.2937754
4176000,3.4539443
4179600,3.812878
4183200,4.3418203
4186800,4.8460912
4190400,5.2155566
4194000,5.4180633
4197600,5.508068
4201200,5.514421
4204800,5.2065669
4208400,4.4376557
4212000,3.623934
4215600,3.0547117
4219200,2.6426486
4222800,2.2879883
4226400,1.8972473
4230000,1.5349763
4233600,1.25613
4237200,1.0271079
4240800,0.8148188
4244400,0.7493182
4248000,0.5331709
4251600,0.5285739
4255200,0.5803242
4258800,0.7179698
4262400,1.6266151
4266000,2.6030607
4269600,3.6947557
4273200,4.6586883
4276800,5.4619429
4280400,5.8730409
4284000,6.0060155
4287600,5.9571572
4291200,5.6306708
4294800,5.2051476
4298400,4.8597771
4302000,4.7479585
4305600,4.6888744
4309200,4.689922
4312800,4.6276024
4316400,4.6849754
4320000,4.7348353
4323600,4.7824268
4327200,4.78562
4330800,4.813977
4334400,4.8815486
4338000,4.9561028
4341600,5.0548588
4345200,5.2236999
4348800,5.6503862
4352400,6.1836125
4356000,6.8054591
4359600,7.3317081
4363200,7.6829058
4366800,7.8912817
4370400,8.0036893
4374000,7.9407903
4377600,7.8641199
4381200,7.8109821
4384800,7.84626
4388400,7.9232833
4392000,7.9405047
4395600,8.0127016
4399200,8.0993884
4402800,8.0734637
4406400,8.0412472
4410000,7.9778906
4413600,7.9368942
4417200,7.8640169
4420800,7.8404377
4424400,7.7491702
4428000,7.6779389
4431600,7.6092715
4435200,7.6717342
4438800,7.8682593
4442400,8.1885178
4446000,8.5041423
4449600,8.845424
4453200,9.0130424
4456800,9.0176038
4460400,8.8703762
4464000,8.4263425
4467600,7.7199348
4471200,7.1751889
4474800,6.7885649
4478400,6.5859674
4482000,6.527058
4485600,6.5548647
4489200,6.6796614
4492800,6.8976633
4496400,7.1778346
4500000,7.5399767
4503600,7.937207
4507200,8.2290022
4510800,8.4815857
4514400,8.70184
4518000,8.8608974
4521600,9.0138379
4525200,9.1869439
4528800,9.3449557
4532400,9.4976263
4536000,9.4914808
4539600,9.4322555
4543200,9.1698303
4546800,8.8214059
4550400,8.4976328
4554000,8.1234462
4557600,7.7830562
4561200,7.4871632
4564800,7.2618764
4568400,7.1393092
4572000,7.1482307
4575600,7.1281588
4579200,7.149611
4582800,7.140764
4586400,7.1324
4590000,7.0284676
4593600,6.9733432
4597200,6.881887
4600800,6.7270364
4604400,6.7596036
4608000,7.1480941
4611600,7.613303
4615200,8.138906
4618800,8.6689356
4622400,9.1716084
4626000,9.661543
4629600,10.0901691
4633200,10.2139185
4636800,10.0196035
4640400,9.5991743
4644000,9.1411845
4647600,8.6618582
4651200,8.2306911
4654800,7.7060598
4658400,7.1392113
4662000,6.6903933
4665600,6.0913205
4669200,5.5623328
4672800,4.9639506
4676400,4.4716663
4680000,3.9668095
4683600,3.4751905
4687200,3.013018
4690800,2.7673104
4694400,2.8645442
4698000,3.2695273
4701600,3.7622912
4705200,4.2253189
4708800,4.6797089
4712400,4.7987603
4716000,4.7717013
4719600,4.5997731
4723200,4.1308972
4726800,3.0659203
4730400,2.2340701
4734000,1.6600054
4737600,1.2348899
4741200,0.8260697
4744800,0.3783754
4748400,0.095988
4752000,-0.1627913
4755600,-0.306914
4759200,-0.4567446
4762800,-0.6348997
4766400,-0.7293573
4770000,-0.7870316
4773600,-0.838691
4777200,-0.5148307
4780800,0.6582161
4784400,1.9374316
4788000,3.3300041
4791600,4.506765
4795200,5.4290593
4798800,5.9699781
4802400,6.2515039
4806000,6.3009302
4809600,5.9985206
4813200,5.2636019
4816800,4.8195668
4820400,4.5751199
4824000,4.4670838
4827600,4.4244306
4831200,4.3520468
4834800,4.384094
4838400,4.3559514
4842000,4.3892536
4845600,4.3462757
4849200,4.3461939
4852800,4.323879
4856400,4.3068887
4860000,4.3169356
4863600,4.4637707
4867200,5.0290063
4870800,5.8379737
4874400,6.7777898
4878000,7.7650039
4881600,8.6440661
4885200,9.3227198
4888800,9.7289535
4892400,9.8419219
4896000,9.5432458
4899600,8.8712228
4903200,8.3152917
4906800,7.923943
4910400,7.7469298
4914000,7.5688413
4917600,7.4202765
4921200,7.2913367
4924800,7.1844075
4928400,7.021477
4932000,6.8953224
4935600,6.7938988
